kategoria,produkt,opinia
Zegarki i biżuteria,Zegarek,"Zegarek jest absolutnie rewelacyjny! Mechanizm działa bardzo precyzyjnie, a zegarek wygląda elegancko i nowocześnie. Bransoleta jest wygodna, a dodatkowe funkcje, takie jak podświetlenie, są niezwykle przydatne. Jestem zachwycony tym zakupem!"
Zegarki i biżuteria,Zegarek,"To doskonały wybór, precyzyjny mechanizm i elegancki wygląd."
RTV,słuchawki,"Fajne słuchawki, choć nie radzą sobie z wysokimi tonami, gruby przewód sterczy z ucha i nie da się go owinąć nad uchem. Do tego brakuję clipersa przy kablu. Nie nadają się do metalcoru i innych podobnych klimatów. Wracam do soundmagiców ;) "
Sport,Białko WPC 94,"Smak znośny, ale konsystencja po przygotowaniu jest nieprzyjemna i grudkowata."
AGD,odkurzacz,"Cena nieadekwatna do jakości, brak akcesoriów w zestawie. "
Sport,Rakieta do Squasha,"Rakieta spełnia swoje podstawowe funkcje, ale wyważenie i jakość owijki pozostawiają wiele do życzenia. Po kilku grach zauważyłem, że materiał ramy zaczyna się zużywać, co nie wróży długiej trwałości. "
AGD,żelazko,Polecam wszystkim! 
Sport,Białko WPC 85,"Smak jest tak zły, że nie da się tego wypić, pozostawia dziwny posmak."
RTV,słuchawki,Za taką cenę spodziewałem się lepszej jakości wykonania.
Zegarki i biżuteria,Zegarek,"Zegarek prezentuje się dobrze, ale niestety jego funkcjonalność jest rozczarowująca. Termometr i kompas są niedokładne, a alarm jest tak cichy, że trudno go usłyszeć. Mechanizm wymaga częstego korygowania, co sprawia, że zegarek jest mało praktyczny."
telefony,Sony Ericsson K750i ,"Urządzenie działa poprawnie, choć widać pewne braki w funkcjonalności. Menu mogłoby być bardziej intuicyjne, a jakość dźwięku podczas rozmów mogłaby być lepsza. Ogólnie spełnia podstawowe potrzeby."
AGD,lodówka,Nie spełnia moich oczekiwań. Za tę cenę mogłem wybrać lepszy model. 
AGD,żelazko,"Jestem zachwycony tym żelazkiem. Po pierwsze, bardzo szybko się nagrzewa, co znacznie skraca czas prasowania. Po drugie, funkcja pary działa perfekcyjnie, a urządzenie jest niezwykle wygodne w użytkowaniu. Polecam każdemu! "
Sport,Rowerek do ćwiczeń,"Siodełko jest niewygodne, a konstrukcja sprawia wrażenie niestabilnej."
Odzież,Torebka,"Najlepsza torebka, jaką miałam – idealna na każdą okazję."
telefony,Sony Ericsson K750i ,"Najlepszy telefon w tej klasie, działa perfekcyjnie i jest bardzo wytrzymały."
AGD,lodówka,"Chłodzi i mrozi idealnie, nic dodać, nic ująć! "
RTV,telewizor,"Jestem zachwycony. Telewizor oferuje nie tylko doskonałą jakość obrazu, ale także bardzo czysty dźwięk. Funkcje Smart TV są intuicyjne, a dodatkowe opcje, takie jak sterowanie głosowe, to świetny bonus. Polecam każdemu!"
RTV,telewizor,"Obraz jest w porządku, ale Smart TV działa bardzo wolno."
telefony,Samsung B2710 SOLID ,"Jest funkcjonalny, ale brak wsparcia producenta jest sporym minusem. "
Zegarki i biżuteria,Naszyjnik,"Produkt dobrze wygląda, ale nie nadaje się do intensywnego użytkowania."
Odzież,Torebka,"Materiał mógłby być bardziej wytrzymały, ale ogólnie jest OK."
AGD,odkurzacz,Dobry zakup! 
Zegarki i biżuteria,Zegarek,"Produkt wygląda elegancko i dobrze sprawdza się na co dzień, choć niektóre funkcje, takie jak termometr czy kompas, są mało precyzyjne. Mechanizm działa w miarę dokładnie, ale zegarek wymaga regularnego korygowania."
telefony,Samsung B2710 SOLID ,"To idealny telefon dla osób, które potrzebują wytrzymałego sprzętu. Obudowa jest niezwykle solidna, a bateria trzyma bardzo długo. Telefon działa szybko i stabilnie, spełnia wszystkie moje oczekiwania. "
Odzież,Botki,"Świetny stosunek jakości do ceny, polecam każdemu. "
Odzież,Botki,"Jestem absolutnie zachwycona tymi botkami! Wyglądają pięknie, są bardzo wygodne i wykonane z wysokiej jakości materiałów. Podeszwa jest solidna i zapewnia świetną przyczepność, nawet na śliskiej powierzchni. Polecam każdemu!"
Odzież,Koszulka,"Koszulka spełnia wszystkie moje oczekiwania. Materiał jest miękki i trwały, a krój idealnie dopasowany. Po kilku praniach wygląda tak samo dobrze jak na początku. Jest bardzo wygodna i idealna na każdą okazję."
AGD,odkurzacz,"Bardzo dobry sprzęt. Używam go od kilku miesięcy i nie mam żadnych zastrzeżeń. Świetnie radzi sobie na różnych powierzchniach, od płytek po dywany. Warto zainwestować w ten model. "
AGD,odkurzacz,"Sprzęt nie jest zły, ale do ideału mu daleko. Mała moc ssania sprawia, że trzeba się napracować przy sprzątaniu. Z kolei jego kompaktowy rozmiar to zdecydowany atut. "
telefony,Samsung B2710 SOLID ,"Samsung B2710 miał być wytrzymałym telefonem, ale niestety jego oprogramowanie to totalna porażka. Synchronizacja z innymi urządzeniami jest bardzo trudna, a bateria nie wytrzymuje dłużej niż dwa dni."
Sport,Rowerek do ćwiczeń,Dobry sprzęt za tę cenę! 
AGD,żelazko,"Urządzenie dobrze radzi sobie z prostymi zadaniami, ale przy grubszych materiałach trzeba kilka razy prasować te same miejsca. Za tę cenę oczekiwałem więcej. "
Odzież,Botki,"Nie nadają się na zimę, podeszwa jest śliska, a wyściółka niewystarczająca."
Sport,Rakieta do Squasha,"Owijka ślizga się w rękach, rakieta jest niewygodna i trudna w użyciu. "
AGD,odkurzacz,"Działa tak, jak powinien, ale wydaje się trochę przestarzały. "
Odzież,Botki,"Jestem zadowolona z tych botków. Są lekkie, wygodne i bardzo stylowe. Pasują zarówno do eleganckich, jak i codziennych stylizacji. Jakość materiału i wykończenia jest naprawdę dobra, szczególnie w tej cenie."
RTV,GPS,"Urządzenie jest proste w obsłudze, a mapa szczegółowa i aktualna."
RTV,telewizor,Obraz wygląda świetnie nawet w jasnym pomieszczeniu. Idealny zakup.
AGD,żelazko,"Dobrze wykonane, ale funkcjonalność pozostawia trochę do życzenia. "
RTV,GPS,"Urządzenie działa poprawnie, ale brakuje mu nowoczesnych funkcji."
RTV,telewizor,"Niestety nieudany zakup, telewizor z założenie miał być rozbudowany stąd jego cena , okazuje się że funkcje online są nieprzewidywalne czasem działają z reguły nie. Także cel mojego zakupu nie jest zrealizowany pomimo nabycia kosmicznie drogiej karty wi-fi i wielogodzinnej konfiguracji. Obraz jak obraz w końcu to telewizor jest i tyle żadna rewelacja , w sumie szkoda że jest bo chętnie oddałbym ten chłam do sklepu . "
AGD,odkurzacz,"Mała moc ssania, ale na twardych podłogach działa przyzwoicie. "
Zegarki i biżuteria,Zegarek,"Zegarek działa idealnie, a dodatkowe funkcje są bardzo przydatne."
Zegarki i biżuteria,Zegarek,"Produkt wyglądał dobrze na zdjęciach, ale w rzeczywistości jest fatalny. Zegarek przestał działać po dwóch tygodniach, a reklamacja została odrzucona. Bransoleta odbarwia się, a materiał wygląda na bardzo tani. To był mój najgorszy zakup w tym roku."
Zegarki i biżuteria,Bransoletka,"Produkt wyglądał pięknie na zdjęciach, ale rzeczywistość okazała się zupełnie inna. Bransoletka rozpadła się po kilku założeniach, a kamienie odpadły już pierwszego dnia. Zapięcie jest bardzo słabe, co sprawia, że łatwo ją zgubić. Strata pieniędzy!"
Sport,Rowerek do ćwiczeń,"Rowerek wygląda solidnie, ale niestety praktyczność pozostawia wiele do życzenia. Pasek oporowy szybko się zużył, a brak części zamiennych sprawia, że sprzęt staje się bezużyteczny. Siodełko i konstrukcja również mogłyby być lepsze. "
RTV,telewizor,"Najlepszy telewizor, jaki miałem. Obraz i dźwięk są fenomenalne."
Sport,Rowerek do ćwiczeń,"Produkt jest solidny jak na tę cenę, ale ma kilka mankamentów. Konstrukcja jest trochę niestabilna, a siodełko niezbyt wygodne. Komputerek działa poprawnie, choć funkcjonalność mogłaby być bardziej rozbudowana."
telefony,Sony Ericsson K750i ,"To jeden z najlepszych telefonów, jakie miałem. Jest solidny, wytrzymały na upadki, a do tego bardzo łatwy w obsłudze. Jego prostota i funkcjonalność sprawiają, że jest świetnym wyborem w tej klasie cenowej."
Sport,Rakieta do Squasha,"Ta rakieta to totalna porażka. Już po kilku uderzeniach owijka zaczęła odpadać, a rama wydaje się bardzo delikatna. Wyważenie jest fatalne, przez co precyzja gry jest praktycznie zerowa. Nie polecam nikomu, szkoda pieniędzy."
RTV,słuchawki,"Nie zachwycają, ale są wygodne i łatwe w obsłudze. "
RTV,GPS,"Mapy są przestarzałe, a ich aktualizacja jest płatna i trudna do przeprowadzenia."
Odzież,Koszulka,"Jestem absolutnie zachwycony tą koszulką. Materiał jest bardzo trwały i przyjemny w dotyku, a krój idealnie dopasowany. To produkt, który sprawdza się zarówno na co dzień, jak i na bardziej eleganckie okazje. Zdecydowanie warty swojej ceny!"
RTV,słuchawki,"Bardzo dobry produkt, spełnia moje oczekiwania w 100%."
AGD,lodówka,"Miała być energooszczędna, ale rachunki za prąd wzrosły. "
AGD,odkurzacz,"Jestem bardzo zadowolony z tego odkurzacza. Ma odpowiednią moc, działa cicho, a dodatkowe akcesoria są bardzo przydatne. Idealny do codziennego użytku. "
Zegarki i biżuteria,Naszyjnik,"Bardzo ładny naszyjnik jednak według mnie nie jest warty swojej ceny,  dlatego taka ocena."
Zegarki i biżuteria,Zegarek,Działa świetnie! 
Odzież,Koszulka,"Koszulka wygląda dobrze, ale niestety jakość materiału pozostawia wiele do życzenia. Po kilku praniach zaczęła się mechacić, a szwy są nierówne. Nadaje się tylko do sporadycznego noszenia, na co dzień raczej nie polecam."
AGD,żelazko,"Nie jest idealne, ale daje radę w codziennych obowiązkach. "
RTV,GPS,"Działa dobrze na trasach międzymiastowych, ale w mieście bywa zawodny."
Zegarki i biżuteria,Naszyjnik,"Naszyjnik wygląda pięknie na pierwszy rzut oka, ale niestety jest bardzo delikatny. Zapięcie sprawia problemy, a kamienie szybko tracą blask. Produkt nadaje się tylko na specjalne okazje, ale nie do codziennego noszenia."
AGD,lodówka,"Moc chłodzenia jest słaba, produkty szybko się psują. "
telefony,Samsung B2710 SOLID ,"Telefon jest solidny na zewnątrz, ale w środku pełno niedociągnięć."
Odzież,Koszulka,"Koszulka wyglądała dobrze na zdjęciach, ale w rzeczywistości jest słabo wykonana. "
telefony,Sony Ericsson K750i ,Beznadziejny telefon! 
Sport,Białko WPC 88,"Produkt wywołał u mnie nieprzyjemne skutki uboczne – zgaga i mdłości po każdej porcji. Smak jest okropny, a rozpuszczalność fatalna. Zdecydowanie nie warto wydawać pieniędzy na coś tak słabego."
RTV,słuchawki,"To jeden z najlepszych zakupów, jakie zrobiłem. Słuchawki są bardzo wygodne, a dźwięk zachwyca. Bas jest mocny, ale nie przytłaczający, a kabel jest na tyle solidny, że nie plącze się zbyt często. "
AGD,żelazko,Żelazko bardzo szybko się przegrzewa i cieknie z niego woda. 
Zegarki i biżuteria,Zegarek,"Dobra opcja dla osób, które szukają prostego zegarka, choć ma kilka wad."
Zegarki i biżuteria,Zegarek,"Materiał wygląda tandetnie, a bransoleta odbarwia się po krótkim czasie."
Zegarki i biżuteria,Zegarek,"Zegarek działa poprawnie, ale nie wyróżnia się niczym szczególnym."
telefony,Sony Ericsson K750i ,"Telefon wygląda solidnie, ale to tylko pozory. Szybko zaczyna się psuć, a dźwięk jest tak kiepski, że nie da się komfortowo rozmawiać. Dodatkowo, aparat robi zdjęcia o bardzo niskiej jakości."
Odzież,Torebka,"Po jednym dniu użytkowania zaczęły odpadać elementy dekoracyjne, nie polecam. "
Zegarki i biżuteria,Zegarek,"Bransoleta jest zbyt delikatna i łatwo się rysuje, a zegarek szybko się rozregulowuje."
Sport,Białko WPC 83,"Nie polecam, smak sztuczny, a białko ciężko się rozpuszcza w wodzie."
AGD,żelazko,Może być. 
AGD,lodówka,Dobry wybór! 
RTV,telewizor,"Telewizor wystarczający do codziennego użytku, choć ma kilka niedociągnięć."
Zegarki i biżuteria,Zegarek,"To świetny zegarek, który doskonale sprawdza się w codziennym użytkowaniu. Mechanizm działa płynnie i dokładnie, a bransoleta jest wygodna i solidna. Zegarek wygląda elegancko i jest bardzo funkcjonalny."
Sport,Białko WPC 139,"Białko jest wyjątkowe pod każdym względem. Smak jest wyśmienity, rozpuszczalność perfekcyjna, a konsystencja bardzo kremowa. Nie powoduje żadnych problemów trawiennych i działa świetnie po treningu. Gorąco polecam! "
Zegarki i biżuteria,Bransoletka,"To najlepsza bransoletka, jaką miałam, doskonała na każdą okazję."
Zegarki i biżuteria,Bransoletka,"Kamienie wyglądają dobrze, choć materiał jest raczej delikatny."
AGD,lodówka,"Lodówka jest dość przeciętna. Z jednej strony chłodzi poprawnie, ale z drugiej wymaga bardzo częstego rozmrażania. Wnętrze nie jest dobrze zaprojektowane, co utrudnia przechowywanie większych produktów. Generalnie nie polecam jej do dużych rodzin. "
Odzież,Botki,"Najlepsze botki, jakie miałam, idealne na każdą okazję."
Odzież,Koszulka,"Nie jestem zadowolony, koszulka jest źle uszyta, a szwy szybko się rozchodzą."
RTV,słuchawki,"Nie spełniają oczekiwań, chociaż wyglądają dobrze. "
Odzież,Botki,"Buty spełniają swoje podstawowe zadanie, ale nie są zbyt wygodne. Materiał wygląda dobrze, ale podszewka i wyściółka są dość przeciętne. Można w nich posiedzieć w pracy, ale nie nadają się na intensywne użytkowanie."
Odzież,Koszulka,"Koszulka ma kilka zalet, takich jak przyzwoity krój i wygodny materiał, ale szybko się niszczy. Po kilku praniach widać ślady zużycia, a kolor nie jest już tak intensywny. Spełnia podstawowe potrzeby, ale nie jest to produkt wysokiej jakości. "
Sport,Białko WPC 82,"Bardzo dobry smak ,lecz ciężko się u mnie rozpuszczało "
Odzież,Torebka,"Polecam, dobra jakość! "
Sport,Rowerek do ćwiczeń,"Rowerek wygląda dobrze, ale brak regulacji siodełka to duży minus."
AGD,lodówka,"jestem użytkownikiem tej lodówki od 2.5 roku, generalnie pięknie wygląda wygląda funkcjonalny środek, ale...i się teraz zacznie po zakupie na wstępie uszkodzona fabrycznie sprężarka wymiana na gwarancji czas oczekiwania prawie miesiąc, następnie poleciał wyświetlacz wymiana , minął czas gwarancji ponownie ta sama usterka wyświetlacza oczywiście już naprawa za swoje koszt 450zł , faktycznie dość głośna praca ale nie ma dramatu cena nie adekwatna do jakości"
AGD,odkurzacz,Rewelacja! 
RTV,słuchawki,"Czysty dźwięk, głęboki bas i świetny design. Polecam każdemu."
RTV,telewizor,"Bardzo dobry produkt, obraz ostry, a kolory nasycone."
Sport,Białko WPC 126,"Białko jest smaczne i lekkostrawne, świetnie się sprawdza po treningu. "
Zegarki i biżuteria,Naszyjnik,"Jestem zadowolona – design jest świetny, a materiał trwały."
AGD,lodówka,Lodówka wygląda świetnie i działa bez zarzutu. 
AGD,odkurzacz,"Przeciętne urządzenie, które działa, ale wymaga częstego opróżniania zbiornika. Na plus trzeba zaliczyć stosunkowo cichą pracę. "
Zegarki i biżuteria,Naszyjnik,"To elegancki dodatek, który sprawdzi się na specjalne okazje, ale niestety nie jest zbyt praktyczny do codziennego noszenia. Materiał jest delikatny i łatwo ulega zarysowaniom, a zapięcie wymaga sporej uwagi przy zakładaniu. Naszyjnik robi dobre pierwsze wrażenie, ale szybko widać, że jakość wykonania pozostawia trochę do życzenia."
Sport,Rowerek do ćwiczeń,"Rower spełnia moje oczekiwania, wygodny, lekki, można go bez problemu przenosić."
Odzież,Botki,"Botki mogłyby być dobrym wyborem, ale mają wiele wad. Podszewka wystaje z wnętrza buta, co wygląda fatalnie. Dodatkowo materiał jest bardzo podatny na zniszczenia, a podeszwa jest zbyt śliska."
AGD,lodówka,"Produkt solidny, działa bez zarzutu, a wnętrze jest dobrze zaprojektowane."
RTV,słuchawki,"Sprawdzają się, ale nie wyróżniają się niczym szczególnym."
Sport,Rowerek do ćwiczeń,"Rowerek jest lekki, łatwy w przenoszeniu i zajmuje mało miejsca."
Zegarki i biżuteria,Naszyjnik,"Produkt spełnia swoje zadanie wizualnie, ale wymaga ostrożnego użytkowania."
Sport,Rowerek do ćwiczeń,Jakość wykonania pozostawia wiele do życzenia – już po kilku dniach widać usterki.
Sport,Rakieta do Squasha,"Rakieta wygląda całkiem nieźle, ale niestety jakość wykonania jest przeciętna. Owijka zaczęła się ślizgać już po kilku grach, a rama jest zbyt twarda, przez co gra nią nie sprawia przyjemności. Nie polecam dla osób, które szukają solidnego sprzętu."
Sport,Białko WPC 133,"Świetny produkt, smakuje dobrze i działa doskonale jako suplement."
Odzież,Torebka,Wielkość i wyposażenie torebki bardzo fajna. Torebka na wyjście i do pracy. Polecam 
RTV,GPS,"Świetny sprzęt, wyświetlacz jest czytelny, a obsługa intuicyjna."
AGD,żelazko,"Urządzenie sprawdza się, choć nie radzi sobie z trudnymi zagnieceniami. "
telefony,Samsung B2710 SOLID ,"Telefon działa dobrze, ale oprogramowanie jest bardzo archaiczne."
AGD,lodówka,"Lodówka działa poprawnie, ale niczym się nie wyróżnia. "
Sport,Rowerek do ćwiczeń,"Konstrukcja mogłaby być stabilniejsza, ale ogólnie działa poprawnie."
AGD,lodówka,"To przeciętna lodówka do małego mieszkania. Funkcja chłodzenia działa sprawnie, ale brakuje zaawansowanych funkcji, jak regulacja wilgotności. Na plus zasługuje energooszczędność"
AGD,lodówka,"Ładny wygląd, przeciętna jakość wykonania, ogólnie szału nie ma."
telefony,Samsung B2710 SOLID ,"Telefon jest świetny, jeśli szukasz niezawodnego sprzętu do pracy. Bateria trzyma kilka dni, obudowa jest bardzo solidna, a sam telefon działa stabilnie. Jestem bardzo zadowolony z tego zakupu!"
AGD,żelazko,"Solidne żelazko, ale brak kilku przydatnych funkcji. "
AGD,lodówka,"Bardzo pojemna, szybka w chłodzeniu, idealna do dużych kuchni. "
Zegarki i biżuteria,Bransoletka,"Kamienie odpadły już po pierwszym użyciu, jakość wykonania jest fatalna."
Odzież,Torebka,"Fajna torebka. Kolor również. Niestety tworzywo, z którego zrobiona jest bardzo słabej jakości. "
Sport,Rakieta do Squasha,"Nie spełnia moich oczekiwań, owijka szybko się zużyła."
Sport,Rakieta do Squasha,"Produkt ma potencjał, ale niestety wyważenie jest kiepskie, co utrudnia precyzyjne uderzenia. Dodatkowo owijka szybko się zużyła, co jest dużym minusem. Jest to rakieta raczej dla początkujących graczy niż dla zaawansowanych."
telefony,Samsung B2710 SOLID ,"Nieźle się sprawdza na budowie, ale brak wsparcia od producenta."
RTV,słuchawki,"Nie radzą sobie z wysokimi tonami, brak równowagi w brzmieniu."
Sport,Rakieta do Squasha,"To najlepsza rakieta, jaką kiedykolwiek miałem. Jest bardzo lekka, idealnie wyważona i pozwala na precyzyjne uderzenia. Grip jest wygodny i dobrze trzyma się w dłoni. Świetna zarówno dla średnio zaawansowanych, jak i bardziej doświadczonych graczy."
Sport,Białko WPC 123,"Bardzo dobra jakość, smak malinowy to mój ulubiony."
RTV,telewizor,"Sygnał cyfrowy działa poprawnie, ale funkcje Smart TV są nieużyteczne."
AGD,żelazko,"Produkt ma niską jakość wykonania. Funkcja pary praktycznie nie działa, a dodatkowo woda wycieka na ubrania. Bardzo się rozczarowałem. "
Zegarki i biżuteria,Bransoletka,"Piękna bransoletka. Starannie wykonana, dopracowana w każdym szczególe. Świetnie prezentuje się na ręce :) "
telefony,Sony Ericsson K750i ,"Jakość wykonania jest bardzo dobra, a telefon działa bez zarzutu."
Zegarki i biżuteria,Naszyjnik,"Naszyjnik jest delikatny, ale wygląda bardzo estetycznie i dobrze się prezentuje."
RTV,GPS,"Nie jest to najlepszy GPS, ale za tę cenę spełnia swoje podstawowe zadanie. Sygnał jest w miarę stabilny, a mapa dość szczegółowa, choć w mieście zdarzają się problemy z dokładnością."
RTV,telewizor,"Działa poprawnie tylko na kanałach HD, reszta wygląda tragicznie."
AGD,żelazko,"Wybrałem to żelazko ze względu na dobre opinie, ale się rozczarowałem. Nie dość, że grzeje się bardzo długo, to funkcja pary działa tylko sporadycznie. Lepiej dołożyć i kupić coś lepszego. "
Odzież,Koszulka,"Nie zachwyca, ale spełnia swoje podstawowe funkcje."
Sport,Białko WPC 108,"Smak nie jest najgorszy, ale rozpuszczalność pozostawia wiele do życzenia."
Zegarki i biżuteria,Naszyjnik,"Naszyjnik dobrze wygląda i jest bardzo wygodny w noszeniu, polecam."
RTV,GPS,"To GPS, który mogę polecić każdemu. Wyświetlacz jest czytelny, nawet w jasnym świetle, a mapa działa szybko i precyzyjnie. Urządzenie jest łatwe w obsłudze, a aktualizacje map są proste do przeprowadzenia."
telefony,Samsung B2710 SOLID ,"Pamięć telefonu jest tak mała, że ciągle trzeba coś usuwać."
Zegarki i biżuteria,Naszyjnik,"Produkt jest starannie wykonany, kamienie błyszczą i wyglądają świetnie."
Odzież,Koszulka,"Jestem zadowolony, koszulka spełnia moje oczekiwania w 100%."
Zegarki i biżuteria,Bransoletka,"Bransoletka ma ciekawy design, ale trwałość pozostawia wiele do życzenia."
Sport,Rakieta do Squasha,"Rakieta spełnia moje oczekiwania, dobrze się nią gra."
Sport,Rowerek do ćwiczeń,"To najgorszy sprzęt, jaki kiedykolwiek kupiłem. Pasek oporowy przetarł się po kilku dniach, a producent nie oferuje części zamiennych. Komputerek działał przez jedną minutę, a potem całkowicie się wyłączył. Rowerek jest niestabilny i zupełnie nie spełnia swoich funkcji."
AGD,lodówka,"Absolutnie polecam tę lodówkę każdemu. Ma wszystko, czego potrzeba – dużą pojemność, solidne półki i świetną funkcję szybkiego chłodzenia. Po kilku miesiącach użytkowania mogę śmiało powiedzieć, że był to jeden z najlepszych zakupów do mojego domu. "
Zegarki i biżuteria,Bransoletka,"Bransoletka prezentuje się elegancko, ale szybko okazało się, że jest bardzo delikatna. Kamienie straciły blask po kilku użyciach, a zapięcie sprawia problemy. Produkt jest ładny, ale nie wart swojej ceny. "
Zegarki i biżuteria,Bransoletka,"Bransoletka wygląda dobrze, ale jej trwałość jest przeciętna. Kamienie są ładne, ale po kilku noszeniach zaczęły się delikatnie odklejać. Zapięcie jest w miarę solidne, ale trzeba je mocno docisnąć, by mieć pewność, że się nie odepnie. Ogólnie produkt na specjalne okazje, ale do codziennego noszenia lepiej wybrać coś bardziej solidnego."
telefony,Samsung B2710 SOLID ,"Telefon działa bardzo dobrze i jest bardzo wytrzymały. Bateria trzyma kilka dni, a obudowa wytrzymuje naprawdę dużo. To świetny sprzęt dla osób, które cenią prostotę i niezawodność. "
Zegarki i biżuteria,Naszyjnik,"To naszyjnik o wysokiej jakości, który doskonale nadaje się na prezent. "
Zegarki i biżuteria,Zegarek,"Najlepszy zegarek, jaki miałem – precyzyjny i bardzo elegancki."
Odzież,Torebka,Rewelacyjna torebka! 
AGD,lodówka,"Urządzenie spełnia swoje podstawowe funkcje, ale ma kilka wad. "
Odzież,Koszulka,"Koszulka wygląda dobrze na pierwszy rzut oka, ale materiał nie jest zbyt trwały. Po kilku praniach widać mechacenie się, a szwy zaczynają się delikatnie pruć. Ogólnie jest w porządku, ale spodziewałem się lepszej jakości."
Zegarki i biżuteria,Bransoletka,"Świetny produkt, który idealnie nadaje się na prezent, bardzo polecam. "
AGD,lodówka,"Sprzęt działa, ale brakuje kilku nowoczesnych funkcji. "
Sport,Białko WPC 80,Obrzydlistwo 
Sport,Rakieta do Squasha,"To dobry produkt dla początkujących graczy, ale brakuje mu jakości. Wyważenie jest w porządku, ale owijka ślizga się w dłoni. Rakieta sprawdza się w mniej intensywnych grach, ale na dłuższą metę wymaga wielu poprawek."
AGD,lodówka,"W środku jest bardzo mało miejsca, choć wygląda na przestronną. "
Zegarki i biżuteria,Zegarek,"Produkt działa świetnie i wygląda bardzo elegancko. Mechanizm jest dokładny, a dodatkowe funkcje, takie jak podświetlenie, są bardzo przydatne. To dobry wybór dla osób, które szukają prostego i niezawodnego zegarka. "
Sport,Rakieta do Squasha,"Rakieta jest w porządku, choć nie spełnia wszystkich moich oczekiwań. Owijka wymaga wymiany po kilku grach, a precyzja uderzeń jest przeciętna. Ogólnie nadaje się dla początkujących, ale bardziej zaawansowani gracze mogą być zawiedzeni."
Sport,Rowerek do ćwiczeń,"Rowerek jest solidny i spełnia moje oczekiwania, świetny na domowe treningi."
AGD,odkurzacz,"Odkurzacz spełnia swoje podstawowe zadanie, ale nie wyróżnia się niczym szczególnym. Przy większych zabrudzeniach trzeba używać go kilkukrotnie, co bywa męczące. "
RTV,telewizor,"Plastik wygląda tandetnie, a dźwięk jest bardzo niskiej jakości."
Sport,Rakieta do Squasha,Średni wybór. 
AGD,odkurzacz,"Plusem jest kompaktowy rozmiar, ale filtr wymaga częstego czyszczenia. "
telefony,Sony Ericsson K750i ,"To dobry model, ale ma swoje wady, szczególnie jeśli chodzi o dźwięk."
telefony,Sony Ericsson K750i ,"Jest w porządku, choć aparat robi zdjęcia o przeciętnej jakości."
Sport,Rowerek do ćwiczeń,"Sprzęt spełnia swoje podstawowe funkcje, ale nie nadaje się do intensywnego treningu. Pasek oporowy wymaga delikatnego użytkowania, a siodełko jest dość twarde. Mimo to, rowerek sprawdzi się w lekkim domowym użytkowaniu."
Odzież,Torebka,"Jestem zachwycona tą torebką! Materiał jest bardzo solidny, a wykończenie perfekcyjne. Jest pojemna, ale wygląda elegancko i zgrabnie. To idealny model na co dzień i na wyjścia. Polecam każdemu, kto szuka uniwersalnej i stylowej torebki!"
Zegarki i biżuteria,Bransoletka,"Walizka ładna, lecz nie odpowiada mi jej trwałość tj. odporność na zarysowania."
Odzież,Koszulka,"Krój mógłby być lepiej dopasowany, ale ogólnie nie jest źle."
AGD,odkurzacz,"Bardzo dobry sprzęt, cichy i efektywny. "
AGD,żelazko,"Sprzęt jest dość przeciętny. Działa poprawnie, ale jego ergonomia mogłaby być lepsza. Funkcja pary czasem przerywa, co bywa irytujące. "
AGD,lodówka,"Często trzeba rozmrażać zamrażalnik, co jest bardzo uciążliwe. "
telefony,Sony Ericsson K750i ,"Słuchawki są tandetne i wypadają z uszu, jakość wykonania bardzo niska."
Zegarki i biżuteria,Naszyjnik,"Jestem zachwycona, naszyjnik wygląda rewelacyjnie i nosi się świetnie."
RTV,GPS,CAŁKOWITE DNO. Kupiłem to cudo i nie można wczytać żadnej trasy. Nie pokazuje się klawiatura 
Odzież,Koszulka,"Koszulka wygląda dobrze, ale materiał jest bardzo cienki i szybko się mechaci."
Zegarki i biżuteria,Bransoletka,"Bransoletka to totalne rozczarowanie. Po kilku dniach użytkowania pękła w miejscu zapięcia, a kamienie zaczęły odpadać. Jakość wykonania jest bardzo niska, a materiał wygląda na tani i mało trwały. Zdecydowanie nie polecam tego produktu."
Sport,Rowerek do ćwiczeń,"Rowerek działa bardzo dobrze, jak na swoją cenę. Jest łatwy w obsłudze i bardzo praktyczny w codziennym użytkowaniu. Komputerek spełnia podstawowe funkcje, a całość wygląda estetycznie i solidnie. Polecam! "
AGD,odkurzacz,"mały, lekki odkurzacz, spełnia oczekiwania"
Zegarki i biżuteria,Zegarek,"Produkt jest w porządku, choć termometr i kompas nie są zbyt dokładne."
AGD,żelazko,"Nie polecam tego produktu. Często przerywa działanie, a parowanie jest nierówne. Nie nadaje się do prasowania delikatnych materiałów. "
telefony,Sony Ericsson K750i ,"Telefon działa bez zarzutu. Jest bardzo solidny, a do tego łatwy w obsłudze. Wyświetlacz jest czytelny, a aparat robi bardzo dobre zdjęcia. To świetny wybór dla osób, które szukają niezawodnego sprzętu na co dzień."
Odzież,Koszulka,"Koszulka skurczyła się po praniu, nie nadaje się już do noszenia."
RTV,telewizor,"Telewizor działa świetnie, obraz jest bardzo wyraźny, a dźwięk czysty."
RTV,słuchawki,"Pasują do podstawowych zastosowań, ale brakuje głębi w basie."
Zegarki i biżuteria,Zegarek,Rewelacyjny zegarek! 
Odzież,Torebka,"To praktyczna i stylowa torebka, idealna na co dzień i do pracy."
